Variable,Description,Unit,Semantic data type,Source / domain,Study role,Final-analysis status,Notes,
Year,Calendar year of the school-district observation.,year,Integer,Integrated dataset / source year,Time index,Identifier/time,Used as a sensitivity-analysis predictor but not a primary-model predictor.,
COUNTY,New York State county associated with the school district.,—,Text,NYSED / geographic linkage,Geographic descriptor,Identifier/linkage,Not used as a primary predictor.,
District Name,Public school district name.,—,Text,NYSED,Geographic identifier,Identifier/linkage,Human-readable district label.,
Autism,Number of students identified with autism in the district and year.,students,Integer,NYSED,Outcome numerator,Outcome component,Used to derive Autism_prev1000.,
Total SWD Count,Total number of students with disabilities (SWD) in the district and year.,students,Integer,NYSED,School-system descriptor,Supporting field,Not used as a primary predictor.,
Total Students,Total student enrollment in the district and year.,students,Integer,NYSED,Outcome denominator,Outcome component,Used to derive Autism_prev1000.,
Classification Rate,Percentage of enrolled students classified as students with disabilities.,%,Numeric,Derived from NYSED counts,School-system descriptor,Supporting field,In the supplied data this appears to equal Total SWD Count / Total Students × 100.,
SED1,NYSED school-district identifier field retained from the source data.,—,Identifier,NYSED,Identifier,Identifier/linkage,Retained for traceability; not a primary predictor.,
GEOID,School-district geographic identifier used to link records across data sources.,—,Identifier,School-district geography / Census linkage,Primary geographic key,Identifier/linkage,Used as the district identifier in the revised analysis.,
Longitude,Longitude of the school-district centroid.,decimal degrees,Numeric,Derived from school-district geography,Spatial metadata,Identifier/linkage,Used for spatial linkage/mapping; not a primary predictor.,
Latitude,Latitude of the school-district centroid.,decimal degrees,Numeric,Derived from school-district geography,Spatial metadata,Identifier/linkage,Used for spatial linkage/mapping; not a primary predictor.,
PM25,Annual mean fine particulate matter (PM2.5) concentration assigned to the district.,µg/m³,Numeric,Washington University in St. Louis PM2.5 dataset,Air pollution predictor,Final predictor,Retained through prescreening and final model selection. 166 values were missing before complete-case selection.,
Elevation (ft),District elevation variable.,feet,Numeric,Topographic layer; exact source not specified in supplied materials,Topographic candidate,Not retained,Table S5 indicates elevation was not retained.,
vpdmin_hPa,Minimum vapor pressure deficit.,hPa,Numeric,PRISM climate data,Climate candidate,Not retained,Excluded during domain-informed prescreening because of climate redundancy.,
vpdmax _hPa,Maximum vapor pressure deficit.,hPa,Numeric,PRISM climate data,Climate candidate,Not retained,Column name contains a space before _hPa in the raw file; excluded for climate redundancy.,
ppt_mm,Annual precipitation.,mm,Numeric,"PRISM Climate Group, Oregon State University",Climate predictor,Final predictor,Retained as the representative precipitation metric.,
