Year,COUNTY,District Name,Autism,Total SWD Count,Total Students,Classification Rate,SED1,GEOID,Longitude,Latitude,PM25,Elevation (ft),vpdmin_hPa,vpdmax _hPa,ppt_mm,tmin_c,tmean_c,tmax_c,tdmean_c,Total_pop,Age20to24_percent,Age25to34_percent,Age35to44_percent,Age45to54_percent,Age55to59_percent,Age60to64_percent,Age65to74_percent,Age75to84_percent,Age85plus_percent,Age18plus_percent,Age21plus_percent,Age65plus_percent,LC_Total,Pop_density,GEO_ID,Below_poverty_percent,Bachelor_plus_percent,Median_household_income,NAME,total_pop,male_percent,female_percent,median_age,under5_percent,age5to9_percent,age10to14_percent,age15to19_percent,white_percent,black_percent,asian_percent,hispanic_percent,non_hispanic_percent,Water_percent,Developed_percent,Barren_percent,Forest_percent,Shrub_percent,Grass_percent,Pasture_crops_percent,Wetland_percent
2010,Suffolk,Amagansett U F S D,0,8,104,7.69,58030302,3602880,-72.0798,40.9714,,0,1.92,9.28,1232.66,8.56,12.06,15.5,5.11,1103,3.45,1.63,8.88,24.84,10.34,7.71,23.48,7.89,0.63,91.48,88.4,32,104100300,10.6,9700000US3602880,5.5,63,76029,"Amagansett Union Free School District, New York",1103,51.2,48.8,55,0.6,2.7,4.4,3.4,96,4,0,8.7,91.3,74.15857591,10.18440869,4.40315734,5.971452532,0.012968262,0.624205694,1.123051519,3.522180051
2010,Delaware,Andes C S D,0,11,103,10.68,12010204,3603000,-74.8021,42.1464,7.7,1768,0.26,10.01,1254.51,1.22,7.28,13.39,1.44,873,6.64,5.38,4.01,20.73,10.42,11.91,12.6,7.22,5.96,90.15,82.82,25.77,247951800,3.52,9700000US3603000,6.1,18.7,37027,"Andes Central School District, New York",873,52.1,47.9,53,1.1,1.9,2.9,9.2,93.7,1.5,1.7,5.7,94.3,3.399612344,4.566935993,0.223591843,77.55079818,0.007985423,0.068965017,13.43039252,0.751718681
2010,Warren,Bolton C S D,0,17,234,7.26,63010104,3605010,-73.6402,43.5928,6.7,430,0.66,11.4,1138.68,3.56,9.22,14.89,2.5,2300,5.43,8,8.13,20.61,6.61,11.61,6.87,10.35,3.48,82.52,80.52,20.7,173015100,13.29,9700000US3605010,1.6,31.2,56016,"Bolton Central School District, New York",2300,48.2,51.8,50.4,7.9,4.4,3.6,3,96.6,2.7,0,7.7,92.3,26.24233376,5.229427952,0.070225084,64.26219446,0.136288682,0.148252956,0.265294763,3.645982345
2010,Suffolk,Fire Island U F S D,0,2,17,11.76,58051402,3621540,-73.1439,40.6371,,0,2.2,10.75,1248.92,8.67,12.39,16.06,4.83,437,3.66,6.41,15.1,16.25,5.72,9.38,15.79,6.64,1.6,83.52,80.55,24.03,435890700,1,9700000US3621540,0,55.9,66250,"Fire Island Union Free School District, New York",437,51.3,48.7,48.7,4.8,4.8,3.2,6.6,91.3,0,7.1,4.6,95.4,95.31139343,0.875242349,2.442584804,0.090848463,0.00165179,0.027461013,0.000412948,1.250405205
2010,Suffolk,Fishers Island U F S D,0,8,73,10.96,58100402,3611100,-72.004,41.2706,,3,1.67,8.95,1421.89,8.17,11.83,15.5,5.06,250,3.2,4,15.2,28.4,8.8,7.2,6,3.2,2,81.2,78,11.2,66285000,3.77,9700000US3611100,7.7,35.3,67045,"Fishers Island Union Free School District, New York",250,46.8,53.2,47.5,0,2.4,8.4,11.2,100,0,0,0,100,84.01900883,7.179904956,1.659198914,3.994568907,0.006788866,1.175831636,0.186014936,1.77868296
2010,Putnam,Garrison U F S D,0,23,265,8.68,48040402,3611860,-73.9232,41.3757,7.7,564,1.27,12.44,1437.89,6.22,11.28,16.33,3.67,3225,2.7,9.86,10.45,18.82,6.11,7.84,10.91,8.56,4.53,81.05,79.35,24,53523000,60.25,9700000US3611860,2.9,51.1,98214,"Garrison Union Free School District, New York",3225,56,44,49,4.2,4.6,7.8,3.6,90.4,2.3,2.1,6.3,93.7,5.994619136,11.67815705,0.025222801,76.53102405,0.00672608,0.053808643,2.784597276,2.925844964
2010,Hamilton,Inlet Comm S D,0,2,30,6.67,20050108,3615330,-74.7376,43.7284,6.8,2221,0.35,8.85,1122.17,0.5,6.11,11.67,0.72,475,0,10.32,11.16,9.26,3.16,13.89,16.63,11.37,0.63,81.89,76.42,28.63,171935100,2.76,9700000US3615330,4.2,35,62083,"Inlet Common School District, New York",475,52.4,47.6,50.7,5.3,5.5,4.8,8,100,0,0,0,100,6.363098634,1.954051267,0.030883746,80.09464036,0.043970079,0.185302478,0,11.32805343
2010,Hamilton,Long Lake C S D,0,2,64,3.13,20070104,3617760,-74.5583,43.9969,6.8,1844,0.35,8.9,1115.06,0.5,6.28,12,0.78,642,1.09,5.92,14.17,15.89,9.19,11.53,10.44,11.84,1.87,82.24,81.93,24.14,1002297600,0.64,9700000US3617760,2.4,35.3,54519,"Long Lake Central School District, New York",642,54.4,45.6,51.6,5,5.3,2.6,5.1,95,0.2,0,2.2,97.8,8.279516982,0.81739196,0.020472961,73.03001623,1.207635337,0.641755503,0.004759066,15.99845196
2010,Essex,Minerva C S D,0,18,130,13.85,15080104,3619530,-74.0552,43.854,6.4,1860,0.2,7.56,1128.78,0.94,6.17,11.39,1.56,587,4.09,5.79,13.97,16.35,9.2,8.69,16.52,9.2,2.56,86.71,85.86,28.28,415935000,1.41,9700000US3619530,9,17.1,39271,"Minerva Central School District, New York",587,51.8,48.2,53.8,5.3,2.6,3.1,2.7,99.1,0.2,0,0,100,2.080276966,1.305203938,0.010169858,86.05496051,0.367845937,0.262468895,0.113383101,9.805690793
2010,Essex,Newcomb C S D,0,5,87,5.75,15100104,3620730,-74.1262,44.0169,6.2,1841,0.38,7.63,1142.49,1,6,11,1.06,494,3.64,3.85,4.66,16.4,11.94,12.75,13.56,12.15,1.82,83.2,78.95,27.53,603901800,0.82,9700000US3620730,2.6,21.7,50893,"Newcomb Central School District, New York",494,47,53,55.6,2,2.4,6.9,7.9,99.6,0,0,0,100,2.943657396,0.8269722,0.392845327,85.4052596,0.522502168,0.199105219,0.004918018,9.704740075
